Provinsi,Kabupaten/Kota,Kecamatan,Nama,Kategori,Latitude,Longitude,Alamat,Link
DKI JAKARTA,KOTA JAKARTA BARAT,Unknown,MINISO PINK puri indah mall 2,Store,-6.1683253,106.6342308,"MINISO PINK PURI INDAH MALL 2, Jl. Puri Indah Raya No.rt.1 rw 02 blok. Q2, Jakarta, Daerah Khusus Ibukota Jakarta 11610","https://www.google.com/maps/place/MINISO+PINK+puri+indah+mall+2/@-6.1683253,106.6342308,12z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f7550a51b863:0xb7ffcb1e2c7c32c0!8m2!3d-6.1878507!4d106.732494!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUWhsiGW1pbmlzbyBrb3RhIGpha2FydGEgYmFyYXSSAQVzdG9yZaoBThABKgoiBm1pbmlzbygAMh8QASIbD0-c154u6nn_dMkOkDMaMOXFKUbVdZyN-fOvMh0QAiIZbWluaXNvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11wvt26k77?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA BARAT,Grogol petamburan,MINISO - Mall Taman Anggrek,Department store,-6.1683253,106.6342308,"Jl. Letjen S. Parman No.Kav 21 Ground Floor, RT.12/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470","https://www.google.com/maps/place/MINISO+-+Mall+Taman+Anggrek/@-6.1683253,106.6342308,12z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+BARAT!3m6!1s0x2e69f7a639fe1251:0x73a3d75b16b67df1!8m2!3d-6.1785831!4d106.7922128!15sChlNSU5JU08gS09UQSBKQUtBUlRBIEJBUkFUkgEQZGVwYXJ0bWVudF9zdG9yZaoBThABKgoiBm1pbmlzbygAMh8QASIbD0-c154u6nn_dMkOkDMaMOXFKUbVdZyN-fOvMh0QAiIZbWluaXNvIGtvdGEgamFrYXJ0YSBiYXJhdOABAA!16s%2Fg%2F11v0qq68bf?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Tanah Abang,MINISO,Hotel supply store,-6.2273208,106.7590713,"Jl. Asia Afrika No.19 1, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270","https://www.google.com/maps/place/MINISO/@-6.2273208,106.7590713,14z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+PUSAT!3m6!1s0x2e69f15751a73991:0xcc5a2a8988f6ebfb!8m2!3d-6.2273208!4d106.7971801!15sChlNSU5JU08gS09UQSBKQUtBUlRBIFBVU0FUIgOIAQFaGyIZbWluaXNvIGtvdGEgamFrYXJ0YSBwdXNhdJIBEmhvdGVsX3N1cHBseV9zdG9yZaoBXQoNL2cvMTFjMmtja2dmeRABKgoiBm1pbmlzbygAMh8QASIbD8kIRehSri45UcEb8ZT4KyQ6X5QttDdWMkRgMh0QAiIZbWluaXNvIGtvdGEgamFrYXJ0YSBwdXNhdOABAA!16s%2Fg%2F11ghfpyjrd?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Tanah Abang,MINISO SENAYAN PARK,Department store,-6.2273208,106.7590713,"Jl. Gerbang Pemuda No.3, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270","https://www.google.com/maps/place/MINISO+SENAYAN+PARK/@-6.2273208,106.7590713,14z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+PUSAT!3m6!1s0x2e69f7b90e027e93:0xc3d66d10ffe6d4a6!8m2!3d-6.2127923!4d106.8036709!15sChlNSU5JU08gS09UQSBKQUtBUlRBIFBVU0FUIgOIAQGSARBkZXBhcnRtZW50X3N0b3JlqgFdCg0vZy8xMWMya2NrZ2Z5EAEqCiIGbWluaXNvKAAyHxABIhsPyQhF6FKuLjlRwRvxlPgrJDpflC20N1YyRGAyHRACIhltaW5pc28ga290YSBqYWthcnRhIHB1c2F04AEA!16s%2Fg%2F11wx2sh2dc?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Menteng,Miniso Grand Indonesia,Store,-6.1959581,106.7834639,"3rd Floor Grand Indonesia, Jl. MH Thamrin No.1, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350","https://www.google.com/maps/place/Miniso+Grand+Indonesia/@-6.1959581,106.7834639,14z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+PUSAT!3m6!1s0x2e69f511ab8adbb7:0x302c31153a87d0f1!8m2!3d-6.1959581!4d106.8215727!15sChlNSU5JU08gS09UQSBKQUtBUlRBIFBVU0FUIgOIAQFaGyIZbWluaXNvIGtvdGEgamFrYXJ0YSBwdXNhdJIBBXN0b3JlqgFdCg0vZy8xMWMya2NrZ2Z5EAEqCiIGbWluaXNvKAAyHxABIhsPyQhF6FKuLjlRwRvxlPgrJDpflC20N1YyRGAyHRACIhltaW5pc28ga290YSBqYWthcnRhIHB1c2F04AEA!16s%2Fg%2F11r9vbc7kn?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Unknown,MINISO,Home goods store,-6.1894615,106.8358435,"RV6F+6H8, RT.13/RW.9, Rawasari, Cempaka Putih, Central Jakarta City, Jakarta 10570","https://www.google.com/maps/place/MINISO/@-6.1894615,106.8358435,14z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+PUSAT!3m6!1s0x2e69f596afa32d53:0xf2791197bc1f5d0a!8m2!3d-6.1894615!4d106.8739523!15sChlNSU5JU08gS09UQSBKQUtBUlRBIFBVU0FUIgOIAQGSARBob21lX2dvb2RzX3N0b3JlqgFdCg0vZy8xMWMya2NrZ2Z5EAEqCiIGbWluaXNvKAAyHxABIhsPyQhF6FKuLjlRwRvxlPgrJDpflC20N1YyRGAyHRACIhltaW5pc28ga290YSBqYWthcnRhIHB1c2F04AEA!16s%2Fg%2F11f5q6213n?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA PUSAT,Unknown,MINISO,Home goods store,-6.1894615,106.8358435,"Plaza Atrium, Jl. Senen Raya No.135 2nd Floor, RW.2, Senen, Central Jakarta City, Jakarta 10410","https://www.google.com/maps/place/MINISO/@-6.1894615,106.8358435,14z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+PUSAT!3m6!1s0x2e69f55b2025d1a9:0xc3e08fa32ba42f52!8m2!3d-6.177082!4d106.8411656!15sChlNSU5JU08gS09UQSBKQUtBUlRBIFBVU0FUIgOIAQFaGyIZbWluaXNvIGtvdGEgamFrYXJ0YSBwdXNhdJIBEGhvbWVfZ29vZHNfc3RvcmWqAV0KDS9nLzExYzJrY2tnZnkQASoKIgZtaW5pc28oADIfEAEiGw_JCEXoUq4uOVHBG_GU-CskOl-ULbQ3VjJEYDIdEAIiGW1pbmlzbyBrb3RhIGpha2FydGEgcHVzYXTgAQA!16s%2Fg%2F11h6m6_w5c?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Ps Rebo,Miniso Mall Cijantung,Home improvement store,-6.3126256,106.7095399,"Mal Cijantung, Jl. Pendidikan I No.7-10, RT.1/RW.4, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770","https://www.google.com/maps/place/Miniso+Mall+Cijantung/@-6.3126256,106.7095399,12z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+TIMUR!3m6!1s0x2e69ed9c2d1d24eb:0x4d52be79c58ea5b6!8m2!3d-6.3126256!4d106.8619752!15sChlNSU5JU08gS09UQSBKQUtBUlRBIFRJTVVSIgOIAQGSARZob21lX2ltcHJvdmVtZW50X3N0b3JlqgFdCg0vZy8xMWMya2NrZ2Z5EAEqCiIGbWluaXNvKAAyHxABIhsPUIv1zPm6CQhYFBR8W102cqnDeaw_GHJ_BJcyHRACIhltaW5pc28ga290YSBqYWthcnRhIHRpbXVy4AEA!16s%2Fg%2F11f3tw4f97?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Unknown,MINISO,Department store,-6.3126256,106.7095399,"Jl. Raya Bogor No.19 14, RT.14/RW.6, Kramat Jati, East Jakarta City, Jakarta 13510","https://www.google.com/maps/place/MINISO/@-6.3126256,106.7095399,12z/data=!3m1!5s0x2e69f2f692b5ed69:0x820eed7334a0493d!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+TIMUR!3m6!1s0x2e69f2f68dd1bc77:0xda92029e0aa532e!8m2!3d-6.2710313!4d106.8685662!15sChlNSU5JU08gS09UQSBKQUtBUlRBIFRJTVVSIgOIAQGSARBkZXBhcnRtZW50X3N0b3JlqgFdCg0vZy8xMWMya2NrZ2Z5EAEqCiIGbWluaXNvKAAyHxABIhsPUIv1zPm6CQhYFBR8W102cqnDeaw_GHJ_BJcyHRACIhltaW5pc28ga290YSBqYWthcnRhIHRpbXVy4AEA!16s%2Fg%2F11g4g5y0cg?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Unknown,Miniso,Home goods store,-6.3126256,106.7095399,"QVGH+83H, Lantai GF, Mall Basura, RT.8/RW.10, South Cipinang Besar, Jatinegara, East Jakarta City, Jakarta 13410","https://www.google.com/maps/place/Miniso/@-6.3126256,106.7095399,12z/data=!4m10!1m2!2m1!1sMINISO+KOTA+JAKARTA+TIMUR!3m6!1s0x2e69f387b90a7d95:0x4b3ae016e4dfe65b!8m2!3d-6.2241916!4d106.877728!15sChlNSU5JU08gS09UQSBKQUtBUlRBIFRJTVVSIgOIAQGSARBob21lX2dvb2RzX3N0b3JlqgFdCg0vZy8xMWMya2NrZ2Z5EAEqCiIGbWluaXNvKAAyHxABIhsPUIv1zPm6CQhYFBR8W102cqnDeaw_GHJ_BJcyHRACIhltaW5pc28ga290YSBqYWthcnRhIHRpbXVy4AEA!16s%2Fg%2F11grc0zsk5?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
