Provinsi,Kabupaten/Kota,Kecamatan,Nama,Kategori,Latitude,Longitude,Alamat,Link
DKI JAKARTA,KOTA JAKARTA SELATAN,Unknown,INFORMA Mall The Park Pejaten,Millwork shop,-6.2805394,106.7909753,"Mall The Park Pejaten, Jl. Warung Jati Barat No.39, RT.1/RW.5, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540","https://www.google.com/maps/place/INFORMA+Mall+The+Park+Pejaten/@-6.2805394,106.7909753,14z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+SELATAN!3m6!1s0x2e69f33e490ca317:0xe5ef44cd917b8ebe!8m2!3d-6.2805394!4d106.8290841!15sChxJTkZPUk1BIEtPVEEgSkFLQVJUQSBTRUxBVEFOkgENbWlsbHdvcmtfc2hvcKoBUhABKgsiB2luZm9ybWEoADIfEAEiGwF-gkTkkzU22VyWU_A_XAp6kk8HTz8UvoMX1DIgEAIiHGluZm9ybWEga290YSBqYWthcnRhIHNlbGF0YW7gAQA!16s%2Fg%2F11v_0c3ylm?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Cakung,IKEA Jakarta Garden City,Furniture store,-6.2805326,106.729173,"Jl. Jkt Garden City Boulevard No.176, RT.7/RW.14, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910","https://www.google.com/maps/place/IKEA+Jakarta+Garden+City/@-6.2805326,106.729173,12z/data=!4m9!1m2!2m1!1sINFORMA+KOTA+JAKARTA+TIMUR!3m5!1s0x2e698b4589e3470f:0x1b65d1f70f636ba3!8m2!3d-6.1711788!4d106.9532338!16s%2Fg%2F11mvlq08tz?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Unknown,PRIVE,Home Furniture Shop,-6.2805326,106.729173,"Jalan Kemang Selatan No.150, Daerah Khusus Ibukota Jakarta 12560","https://www.google.com/maps/place/PRIVE/@-6.2805326,106.729173,12z/data=!4m9!1m2!2m1!1sINFORMA+KOTA+JAKARTA+TIMUR!3m5!1s0x2e69f358a3214a91:0x4dd097d0e2a44784!8m2!3d-6.274217!4d106.819749!16s%2Fg%2F11lsp2fynd?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Cakung,INFORMA - Grand Cakung,Furniture store,-6.2805326,106.729173,"Jl. Sri Sultan Hamengkubuwono IX No.KM. 25, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960","https://www.google.com/maps/place/INFORMA+-+Grand+Cakung/@-6.2805326,106.729173,12z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+TIMUR!3m6!1s0x2e69f577664ae3f3:0x3ecb53c3cae86a62!8m2!3d-6.187063!4d106.9586998!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBUSU1VUlocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB0aW11cpIBD2Z1cm5pdHVyZV9zdG9yZaoBXwoNL2cvMTFyc2gxY2h4NhABKgsiB2luZm9ybWEoADIfEAEiGwsLL8xuErhAfFpAlAdnZYyhNnAPnB0mhI0JtDIeEAIiGmluZm9ybWEga290YSBqYWthcnRhIHRpbXVy4AEA!16s%2Fg%2F11rsh1chx6?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Jatinegara,INFORMA ELECTRONICS BASSURA,Electronics store,-6.2805326,106.729173,"Mall Bassura City, RT.8/RW.10, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410","https://www.google.com/maps/place/INFORMA+ELECTRONICS+BASSURA/@-6.2805326,106.729173,12z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+TIMUR!3m6!1s0x2e69f38966b22d6f:0xb0917733a9348b!8m2!3d-6.2240938!4d106.8777875!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBUSU1VUlocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB0aW11cpIBEWVsZWN0cm9uaWNzX3N0b3JlqgFfCg0vZy8xMXJzaDFjaHg2EAEqCyIHaW5mb3JtYSgAMh8QASIbCwsvzG4SuEB8WkCUB2dljKE2cA-cHSaEjQm0Mh4QAiIaaW5mb3JtYSBrb3RhIGpha2FydGEgdGltdXLgAQA!16s%2Fg%2F11rj3pd301?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Jatinegara,INFORMA BASSURA,Millwork shop,-6.2805326,106.729173,"Mall Bassura, Jl. Jenderal Basuki Rachmat Lt. 1, Cipinang Besar Sel., Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410","https://www.google.com/maps/place/INFORMA+BASSURA/@-6.2805326,106.729173,12z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+TIMUR!3m6!1s0x2e69f7d637533bbf:0x349550d44cc4c734!8m2!3d-6.2243773!4d106.8780866!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBUSU1VUlocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB0aW11cpIBDW1pbGx3b3JrX3Nob3CqAV8KDS9nLzExcnNoMWNoeDYQASoLIgdpbmZvcm1hKAAyHxABIhsLCy_MbhK4QHxaQJQHZ2WMoTZwD5wdJoSNCbQyHhACIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB0aW11cuABAA!16s%2Fg%2F11v5dksdl9?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Ciracas,INFORMA - CIBUBUR JUNCTION,Millwork shop,-6.2805326,106.729173,"Jl. Jambore No.1, RT.8/RW.7, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720","https://www.google.com/maps/place/INFORMA+-+CIBUBUR+JUNCTION/@-6.2805326,106.729173,12z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+TIMUR!3m6!1s0x2e69ed192b70a207:0x4712a794f86bd4d2!8m2!3d-6.3692585!4d106.8940924!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBUSU1VUlocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB0aW11cpIBDW1pbGx3b3JrX3Nob3CqAV8KDS9nLzExcnNoMWNoeDYQASoLIgdpbmZvcm1hKAAyHxABIhsLCy_MbhK4QHxaQJQHZ2WMoTZwD5wdJoSNCbQyHhACIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB0aW11cuABAA!16s%2Fg%2F11y8ty26yq?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Cakung,Informa Electronics Grand Cakung,Electronics store,-6.2805326,106.729173,"Jl. Sri Sultan Hamengkubuwono IX, RW.1, Ujung Menteng, Kec. Cakung, Jakarta, Daerah Khusus Ibukota Jakarta 13960","https://www.google.com/maps/place/Informa+Electronics+Grand+Cakung/@-6.2805326,106.729173,12z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+TIMUR!3m6!1s0x2e698bf1a2326be3:0xd2e03243ed93ab49!8m2!3d-6.1868792!4d106.9585071!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBUSU1VUlocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB0aW11cpIBEWVsZWN0cm9uaWNzX3N0b3JlqgFfCg0vZy8xMXJzaDFjaHg2EAEqCyIHaW5mb3JtYSgAMh8QASIbCwsvzG4SuEB8WkCUB2dljKE2cA-cHSaEjQm0Mh4QAiIaaW5mb3JtYSBrb3RhIGpha2FydGEgdGltdXLgAQA!16s%2Fg%2F11rmyw4q45?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Cimanggis,Informa Furniture & Elektronik (Pusat Furniture),Home goods store,-6.2805326,106.729173,"Jl. Raya Jakarta-Bogor No.KM 30, Tugu, Kec. Cimanggis, Kota Depok, Jawa Barat 16452","https://www.google.com/maps/place/Informa+Furniture+%26+Elektronik+(Pusat+Furniture)/@-6.2805326,106.729173,12z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+TIMUR!3m6!1s0x2e69ed183414f0c5:0x33fff8323ab76146!8m2!3d-6.3649426!4d106.8589543!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBUSU1VUlocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB0aW11cpIBEGhvbWVfZ29vZHNfc3RvcmWqAV8KDS9nLzExcnNoMWNoeDYQASoLIgdpbmZvcm1hKAAyHxABIhsLCy_MbhK4QHxaQJQHZ2WMoTZwD5wdJoSNCbQyHhACIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB0aW11cuABAA!16s%2Fg%2F11rrnkn6nr?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Jatisampurna,INFORMA - CIBUBUR TIMES SQUARE,Furniture store,-6.2805326,106.729173,"Cibubur Times Square, Jl. Transyogi, RT.001/RW.010, Jatikarya, Kec. Jatisampurna, Kota Bks, Jawa Barat 17435","https://www.google.com/maps/place/INFORMA+-+CIBUBUR+TIMES+SQUARE/@-6.2805326,106.729173,12z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+TIMUR!3m6!1s0x2e69957fb637ac47:0x33daa5bc843bbee1!8m2!3d-6.378776!4d106.9198279!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBUSU1VUlocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB0aW11cpIBD2Z1cm5pdHVyZV9zdG9yZaoBXwoNL2cvMTFyc2gxY2h4NhABKgsiB2luZm9ybWEoADIfEAEiGwsLL8xuErhAfFpAlAdnZYyhNnAPnB0mhI0JtDIeEAIiGmluZm9ybWEga290YSBqYWthcnRhIHRpbXVy4AEA!16s%2Fg%2F1q5blwq1t?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
DKI JAKARTA,KOTA JAKARTA TIMUR,Unknown,INFORMA - KOTA KASABLANKA,Furniture store,-6.2805326,106.729173,"Kota Kasablanka Lt.2, Jl. Raya Casablanca Raya No.kav 88, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta","https://www.google.com/maps/place/INFORMA+-+KOTA+KASABLANKA/@-6.2805326,106.729173,12z/data=!4m10!1m2!2m1!1sINFORMA+KOTA+JAKARTA+TIMUR!3m6!1s0x2e69f30416113e81:0xb6dbe2786c5db483!8m2!3d-6.222827!4d106.8428202!15sChpJTkZPUk1BIEtPVEEgSkFLQVJUQSBUSU1VUlocIhppbmZvcm1hIGtvdGEgamFrYXJ0YSB0aW11cpIBD2Z1cm5pdHVyZV9zdG9yZaoBXwoNL2cvMTFyc2gxY2h4NhABKgsiB2luZm9ybWEoADIfEAEiGwsLL8xuErhAfFpAlAdnZYyhNnAPnB0mhI0JtDIeEAIiGmluZm9ybWEga290YSBqYWthcnRhIHRpbXVy4AEA!16s%2Fg%2F1ptwf8n6c?hl=en&entry=ttu&g_ep=EgoyMDI1MDYwMS4wIKXMDSoASAFQAw%3D%3D"
